"id","username","location","relationship_type","target"
6723,"yufei26","","follower","possom"
6724,"qcqjt526","","follower","possom"
6725,"hamlincelestine","Los Angeles","follower","possom"
6726,"nicholas_z69","","follower","possom"
6727,"zf072031","Seattle, Washington","follower","possom"
6728,"xingminlaopo","","follower","possom"
6729,"samgmcnamee","ohio","follower","possom"
6730,"buyuanliming","canada","follower","possom"
6731,"republican_team_","","follower","possom"
6732,"loftyblack261","","follower","possom"
6733,"leebrow","","follower","possom"
6734,"heibai00","","follower","possom"
6735,"ctm3br","🇺🇲FJB/Let's Go Brandon!🇺🇲","follower","possom"
6736,"gettrnepal","","follower","possom"
6737,"laozhi","新中国联邦","follower","possom"
6738,"greenjeanstex","Texas","follower","possom"
6739,"gettrav","None of your damn business","follower","possom"
6740,"nikola","","follower","possom"
6741,"barbj","TX","follower","possom"
6742,"ygqfyxmg","","follower","possom"
6743,"packedfunk","USA","follower","possom"
6744,"john_mars","","follower","possom"
6745,"staceytx","Texas","follower","possom"
6746,"oldhundrednames","","follower","possom"
6747,"diassunia24","","follower","possom"
6748,"yingli26","","follower","possom"
6749,"michelle_9539","Los Angeles California 🇺🇸","follower","possom"
6750,"yy19896464","","follower","possom"
6751,"fgsayre","","follower","possom"
6752,"jasmine2020","","follower","possom"
6753,"blackgoat","NYC,NY","follower","possom"
6754,"samdrasandi","Houston, TX","follower","possom"
6755,"muzi5839","null","follower","possom"
6756,"hankletaterz_chips_bullwhips","","follower","possom"
6757,"gmin6289gmail","","follower","possom"
6758,"smotherman","USA","follower","possom"
6759,"succulent","","follower","possom"
6760,"gracechong","Los Angeles","follower","possom"
6761,"conservative_box","","follower","possom"
6762,"xiaoxiaochaogen","","follower","possom"
6763,"marcin_j","","follower","possom"
6764,"joeug","Port Weller, Ontario","follower","possom"
6765,"yunfeiyuan","","follower","possom"
6766,"gunner1491","","follower","possom"
6767,"39weitai","台南","follower","possom"
6768,"smilej","","follower","possom"
6769,"chunjie666","","follower","possom"
6770,"ryanmatta","","following","possom"
6771,"lauraloomer","Lake County, Florida","following","possom"
6772,"jovanhpulitzer","","following","possom"
6773,"greenjeanstex","Texas","following","possom"
6774,"tona4usa","NC","following","possom"
6775,"electionwizard","The Swamp","following","possom"
6776,"packedfunk","USA","following","possom"
6777,"gettrchillmode","","following","possom"
6778,"citizenfreepres","","following","possom"
6779,"samdrasandi","Houston, TX","following","possom"
6780,"chanda21","","following","possom"
6781,"nicksortor","Lexington, KY","following","possom"
6782,"donnafiducia","United States","following","possom"
6783,"repmtg","Rome, GA","following","possom"
6784,"grannywithagun","FREE STATE OF FLORIDA!!","following","possom"
6785,"chinatruth2022","NYC, NY","following","possom"
6786,"eric_chen","","following","possom"
6787,"gracechong","Los Angeles","following","possom"
6788,"dc_draino","Tampa, FL","following","possom"
6789,"realreggielittlejohn","Maryland","following","possom"
6790,"shemane","Texas","following","possom"
6791,"lancewallnau","Dallas, TX","following","possom"
6792,"karynturk","Palm Beach","following","possom"
6793,"brateconomics","Lynchburg, VA","following","possom"
6794,"tpusa","The United States of America","following","possom"
6795,"birchgold","","following","possom"
6796,"sebgorka","Washington, D.C.","following","possom"
6797,"noorbinladin","","following","possom"
6798,"teeena1","lasvegas","following","possom"
6799,"therealj6","Washington, D.C.","following","possom"
6800,"lfs6b","New York, New York","following","possom"
6801,"poppanolan","Land of NO","following","possom"
6802,"newmexicogop","Albuquerque, NM","following","possom"
6803,"mschlapp","Alexandria, VA","following","possom"
6804,"seanfeucht","California, USA","following","possom"
6805,"jfradioshow","Mid Atlantic / East Coast, USA","following","possom"
6806,"nigel_farage","","following","possom"
6807,"realanthony","","following","possom"
6808,"cobratate","","following","possom"
6809,"talismantate","Romania","following","possom"
6810,"gopchairwoman","","following","possom"
6811,"edwarddowd","Wailea, HI","following","possom"
6812,"greggjarrett","New York","following","possom"
6813,"weathernation","","following","possom"
6814,"tinafor22","Grand Junction, Colorado","following","possom"
6815,"mitchellvii","Charlotte, NC","following","possom"
6816,"davidcomedia","","following","possom"
6817,"theelderrace","WV","following","possom"
6818,"victoensing","Washington, DC","following","possom"
6819,"rwmalonemd","Virginia","following","possom"
6820,"263272358","brasil","follower","markdice"
6821,"omnia1996","","follower","markdice"
6822,"redtulip","new jersey","follower","markdice"
6823,"davetheknave","","follower","markdice"
6824,"bkoldenhoven","","follower","markdice"
6825,"michellep65","","follower","markdice"
6826,"donnaque23","","follower","markdice"
6827,"hanyao","","follower","markdice"
6828,"youerpai","","follower","markdice"
6829,"d7tuen0n5mtmghe","新中国联邦","follower","markdice"
6830,"liekiller23","North Central USA","follower","markdice"
6831,"gtvonline","","follower","markdice"
6832,"namei","","follower","markdice"
6833,"shuanger","","follower","markdice"
6834,"ouxianxiufu","","follower","markdice"
6835,"weiwei_","","follower","markdice"
6836,"binbin_","","follower","markdice"
6837,"wz456789","SG","follower","markdice"
6838,"annewenhua2023","","follower","markdice"
6839,"adsalesjr68","Salvador, Bahia, Brasil","follower","markdice"
6840,"omniahy","Egypt","follower","markdice"
6841,"men_qi_yuan","USA","follower","markdice"
6842,"pops44","","follower","markdice"
6843,"mohammed_shameem","Bangladesh","follower","markdice"
6844,"shandai_3557","","follower","markdice"
6845,"feifei","","follower","markdice"
6846,"tena1955","","follower","markdice"
6847,"jamesgerardnc","NC","follower","markdice"
6848,"roguestamp3de","USA","follower","markdice"
6849,"alaskalove7","EEUU","follower","markdice"
6850,"krone_schwan","Reutlingen Germany","follower","markdice"
6851,"rclaw","USA 🇺🇸","follower","markdice"
6852,"moncybmb","New Jersey","follower","markdice"
6853,"kewpablo","","follower","markdice"
6854,"foyehit737","","follower","markdice"
6855,"gadgets25","","follower","markdice"
6856,"makemoneyonline_","Pakistan","follower","markdice"
6857,"dongdong_","","follower","markdice"
6858,"xixi_","","follower","markdice"
6859,"doegree","","follower","markdice"
6860,"maracana1958","","follower","markdice"
6861,"swordofomens","Thundera","follower","markdice"
6862,"glossary2_","","follower","markdice"
6863,"ttddmn","","follower","markdice"
6864,"johnnybotwrightwv","London","follower","markdice"
6865,"stationsquaremloutlook","","follower","markdice"
6866,"getleanmuscle","","follower","markdice"
6867,"ftxidentity","Rock Hill, NY, USA","follower","markdice"
6868,"palehorse82","","follower","markdice"
6869,"ericdiana897","","follower","markdice"
6870,"gettr","New York, NY","following","markdice"
6871,"alexjones","Austin, Texas","following","markdice"
6872,"support","New York, NY","following","markdice"
6873,"elvisfroch9","Springfield lllinois USA 🇺🇸","follower","coastlady16"
6874,"malachovski16","Hawaii state.USA","follower","coastlady16"
6875,"garyadem","Dallas Texas","follower","coastlady16"
6876,"team_trump2024","","follower","coastlady16"
6877,"saveamerica_news","","follower","coastlady16"
6878,"berg40","","follower","coastlady16"
6879,"ogden_5578","","follower","coastlady16"
6880,"evamerritt","","follower","coastlady16"
6881,"karenscott_7242","","follower","coastlady16"
6882,"janetm_1896","","follower","coastlady16"
6883,"zhoyuan","","follower","coastlady16"
6884,"laxcoachfreedom","Maryland","follower","coastlady16"
6885,"shinjulee33243","台灣寶島農場傳送門","follower","coastlady16"
6886,"kimberlykelson","","follower","coastlady16"
6887,"roughandready","Long Beach, CA","follower","coastlady16"
6888,"ccp444444","塞舌尔","follower","coastlady16"
6889,"alexknight1","Delaware","follower","coastlady16"
6890,"tl1413","","follower","coastlady16"
6891,"matanga","","follower","coastlady16"
6892,"paulbenson","","follower","coastlady16"
6893,"graceemsley","","follower","coastlady16"
6894,"hannahfarley","","follower","coastlady16"
6895,"emerymckale","","follower","coastlady16"
6896,"qinqin119","null","follower","coastlady16"
6897,"emmajohnson1","New Jersey","follower","coastlady16"
6898,"mollymckinley","","follower","coastlady16"
6899,"alexandramadison","","follower","coastlady16"
6900,"patriotfirst76","Red Bank NJ","follower","coastlady16"
6901,"emctsprime","So Cal","follower","coastlady16"
6902,"stefithomas","","follower","coastlady16"
6903,"jessicajonson","LA","follower","coastlady16"
6904,"getontrumptrain","","follower","coastlady16"
6905,"pjalpha_reacts","","follower","coastlady16"
6906,"fightfakenews","","follower","coastlady16"
6907,"leeminho5738","South Korean","follower","coastlady16"
6908,"dcdog999","","follower","coastlady16"
6909,"consfighters","","follower","coastlady16"
6910,"lilian_fx_mining","","follower","coastlady16"
6911,"sarahoakley","","follower","coastlady16"
6912,"patriotusamt","Montana","follower","coastlady16"
6913,"annarichard","LA","follower","coastlady16"
6914,"idaho444","Northern Idaho 🚨   🇺🇸 🏔 🚂","follower","coastlady16"
6915,"mariamiler1","Denver","follower","coastlady16"
6916,"teamiler","","follower","coastlady16"
6917,"christina_7504","","follower","coastlady16"
6918,"shadowj","","follower","coastlady16"
6919,"maryjack_9232","","follower","coastlady16"
6920,"eleanorw_8438","","follower","coastlady16"
6921,"nicolethompson1","California","follower","coastlady16"
6922,"margies_9324","","follower","coastlady16"
6923,"gettr","New York, NY","following","coastlady16"
6924,"bretbaier","Washington, DC","following","coastlady16"
6925,"nrsc","Washington, D.C.","following","coastlady16"
6926,"senronjohnson","Oshkosh, WI","following","coastlady16"
6927,"epochtimes","New York, USA","following","coastlady16"
6928,"posieparker","U.K.","following","coastlady16"
6929,"sethdillon","Jupiter, FL","following","coastlady16"
6930,"theleoterrell","Los Angeles","following","coastlady16"
6931,"laralogan","The country of Texas.","following","coastlady16"
6932,"dloesch","Texas, USA","following","coastlady16"
6933,"defiantls","Bluegrass","following","coastlady16"
6934,"robschneider","Los Angeles, CA","following","coastlady16"
6935,"truckers4fredom","Worldwide","following","coastlady16"
6936,"janiceingardi","Brooklyn, Ny","following","coastlady16"
6937,"tuckercarlson","Washington, DC","following","coastlady16"
6938,"tulsigabbard","Hawai'i","following","coastlady16"
6939,"robschmitt","","following","coastlady16"
6940,"govdunleavy","Alaska, USA","following","coastlady16"
6941,"waynedupreeshow","USAF Desert Storm/Shield Vet","following","coastlady16"
6942,"mattwalshblog","","following","coastlady16"
6943,"rudygiuliani","New York, NY","following","coastlady16"
6944,"mariabartiromo","New York, NY","following","coastlady16"
6945,"rcamposduffy","Wausau, Wisconsin","following","coastlady16"
6946,"frankgaffney","Washington, DC","following","coastlady16"
6947,"seanparnellusa","Pennsylvania","following","coastlady16"
6948,"kelliwardaz","Phoenix, AZ","following","coastlady16"
6949,"dailynews","","following","coastlady16"
6950,"libsoftiktok","","following","coastlady16"
6951,"timrunshismouth","Texas","following","coastlady16"
6952,"emeraldrobinson","Washington D.C.","following","coastlady16"
6953,"alexsheppard","","following","coastlady16"
6954,"jamesokeefeiii","New York","following","coastlady16"
6955,"thewillwitt","Tampa, FL","following","coastlady16"
6956,"jennaellisesq","Free State of Florida","following","coastlady16"
6957,"anthonysabatini","Lake County, FL","following","coastlady16"
6958,"anncoulter","Los Angeles/NYC","following","coastlady16"
6959,"tomselliott","Madrid, Spain","following","coastlady16"
6960,"madisoncawthorn","NC","following","coastlady16"
6961,"laurenboebert","Colorado, USA","following","coastlady16"
6962,"herschelwalker","","following","coastlady16"
6963,"infowars","Austin, Texas","following","coastlady16"
6964,"thebabylonbee","","following","coastlady16"
6965,"jdvance1","Cincinnati, OH","following","coastlady16"
6966,"drsimonegold","Los Angeles, CA","following","coastlady16"
6967,"greggjarrett","New York","following","coastlady16"
6968,"jacobkschneider","Washington, D.C.","following","coastlady16"
6969,"steveguest","Washington, DC","following","coastlady16"
6970,"seanspicer","","following","coastlady16"
6971,"rncresearch","Washington, DC","following","coastlady16"
6972,"realgenflynn","USA 🙏🏼🇳🇱🇺🇸","following","coastlady16"
6973,"wisdom1986","New York","follower","baba_yadada"
6974,"cammytroll","null","follower","baba_yadada"
6975,"grace05","","follower","baba_yadada"
6976,"phamthien554","","follower","baba_yadada"
6977,"aufarm","","follower","baba_yadada"
6978,"savemoney","","follower","baba_yadada"
6979,"marry_6063","Oklahoma tulsa","follower","baba_yadada"
6980,"truth2023","https://bit.ly/3E2VWc2","follower","baba_yadada"
6981,"sandrabetty098","","follower","baba_yadada"
6982,"ryanrodney97","United States","follower","baba_yadada"
6983,"zyahz","","follower","baba_yadada"
6984,"norasmith","","follower","baba_yadada"
6985,"kimme_6364","USA","follower","baba_yadada"
6986,"lil_lisa","Ontario, Canada","follower","baba_yadada"
6987,"sangshenzi","","follower","baba_yadada"
6988,"hkz286","","follower","baba_yadada"
6989,"liftwaffe","","follower","baba_yadada"
6990,"taylorsteph","California","follower","baba_yadada"
6991,"mavis_l_wanczyk1","United States of America","follower","baba_yadada"
6992,"gettrputt","NC","follower","baba_yadada"
6993,"pergerbenjamin14","","follower","baba_yadada"
6994,"garthbpask","Los Angeles","follower","baba_yadada"
6995,"daniellew83","Wisconsin","follower","baba_yadada"
6996,"360312271199677","美国纽约","follower","baba_yadada"
6997,"mattelitestorm","Join Odysee","follower","baba_yadada"
6998,"j5130","Painesville Twp, Ohio","follower","baba_yadada"
6999,"bnp_forever","West Midlands","follower","baba_yadada"
7000,"hhhhgdn","","follower","baba_yadada"
7001,"arthurbraby","","follower","baba_yadada"
7002,"adam_de_veritas","North Van","follower","baba_yadada"
7003,"culunsinboi","","follower","baba_yadada"
7004,"photobooth","","follower","baba_yadada"
7005,"schubidoo","Kentucky","follower","baba_yadada"
7006,"grinchtoes","","follower","baba_yadada"
7007,"elskerdanmark","","follower","baba_yadada"
7008,"peterrytyt","Korea","follower","baba_yadada"
7009,"dan_copu91","United State","follower","baba_yadada"
7010,"alexnunez87","Nezahualcoyotl  CDMX","follower","baba_yadada"
7011,"onetommy1","NC","follower","baba_yadada"
7012,"peter_0032","Africa Uganda mityana","follower","baba_yadada"
7013,"jimbo070371","USA","follower","baba_yadada"
7014,"ashbadan","","follower","baba_yadada"
7015,"dayan777","新中国联邦 NFSC","follower","baba_yadada"
7016,"zaq1868a","","follower","baba_yadada"
7017,"rose937","","follower","baba_yadada"
7018,"plallier","Canada 🇨🇦🌎🌎","follower","baba_yadada"
7019,"marystella_7366","","follower","baba_yadada"
7020,"zhoyuan","","follower","baba_yadada"
7021,"roseblossom5655","Dania beach Florida","follower","baba_yadada"
7022,"realmattcouch","http://www.faithnfreedoms.com","follower","baba_yadada"
7023,"gettr","New York, NY","following","baba_yadada"
7024,"jamesokeefeiii","New York","following","baba_yadada"
7025,"jasonmillerindc","Washington, D.C.","following","baba_yadada"
7026,"ezralevant","Canada and the world","following","baba_yadada"
7027,"support","New York, NY","following","baba_yadada"
7028,"ultramaga71","O-H-I-O","follower","bgiller"
7029,"rightwingnews","","follower","bgiller"
7030,"lisatom_06502","US","follower","bgiller"
7031,"traceycooke","Animal, Human Rights Activist","follower","bgiller"
7032,"jane_9710","","follower","bgiller"
7033,"powell311","Russell ks,  U.S.A.","follower","bgiller"
7034,"coggy440","","follower","bgiller"
7035,"art_of_sf","","follower","bgiller"
7036,"liberty_lee","Liberty 🗽","follower","bgiller"
7037,"jinshaozi","","follower","bgiller"
7038,"keiko1104","Tampa Florida","follower","bgiller"
7039,"amazinggraces","","follower","bgiller"
7040,"huyuxuan","","follower","bgiller"
7041,"spy4america","USA","follower","bgiller"
7042,"paulmartin223","","follower","bgiller"
7043,"johnsanchez7784","","follower","bgiller"
7044,"potusg","⬇️Join @OHMichael’s Meme Group","follower","bgiller"
7045,"beinggood2","","follower","bgiller"
7046,"wendaoliu","新中国联邦","follower","bgiller"
7047,"dillionkiara","OHIO","follower","bgiller"
7048,"yanceyrobin03","Rome Georgia","follower","bgiller"
7049,"floridagirlathena","Somewhere","follower","bgiller"
7050,"rgmatuschewski","","follower","bgiller"
7051,"seanlpz9","","follower","bgiller"
7052,"typingchimp","Tucson, Arizona","follower","bgiller"
7053,"avery1414","Florida","follower","bgiller"
7054,"reddingtonferna","Long Beach , CA","follower","bgiller"
7055,"evensta","CommiePORNia","follower","bgiller"
7056,"alyssa_8337","","follower","bgiller"
7057,"kate71435katemary","","follower","bgiller"
7058,"jetsetter_club","United States","follower","bgiller"
7059,"mistyg45","Pennsylvania","follower","bgiller"
7060,"bobmichel2","","follower","bgiller"
7061,"haoguo","","follower","bgiller"
7062,"mdbreathe_taiiy","","follower","bgiller"
7063,"grayman6","shitty eastern blue state","follower","bgiller"
7064,"sandrawills324","united state","follower","bgiller"
7065,"usalu","","follower","bgiller"
7066,"ciao_isabella","The Cape","follower","bgiller"
7067,"johnpdalton","USA","follower","bgiller"
7068,"bellabyran96","","follower","bgiller"
7069,"slatulippemd","Arizona","follower","bgiller"
7070,"fiona_8035","","follower","bgiller"
7071,"lorretawhite5","","follower","bgiller"
7072,"an_258","","follower","bgiller"
7073,"jameswrf","","follower","bgiller"
7074,"amberharris0072","United state of America","follower","bgiller"
7075,"oathkeeper","United States of America","follower","bgiller"
7076,"magagirl1989","Pennsylvania","follower","bgiller"
7077,"rat_fink","Ohio","follower","bgiller"
7078,"gettr","New York, NY","following","bgiller"
7079,"jackposobiec","Wuhan Lab Rm 7","following","bgiller"
7080,"karlibonne","MAGADONIA","following","bgiller"
7081,"kashscorner","","following","bgiller"
7082,"realannapaulina","United States","following","bgiller"
7083,"dc_draino","Tampa, FL","following","bgiller"
7084,"emeraldrobinson","Washington D.C.","following","bgiller"
7085,"repjamescomer","Tompkinsville, KY","following","bgiller"
7086,"willcain","New York, NY - Texas","following","bgiller"
7087,"repdonaldspress","","following","bgiller"
7088,"karilake","Phoenix & Pine, AZ","following","bgiller"
7089,"realfrankspeech","","following","bgiller"
7090,"thepilot","Tribulation","following","bgiller"
7091,"cynthiaholt","Magadonia","following","bgiller"
7092,"dcenquirer","","following","bgiller"
7093,"realdrgina","🇺🇸","following","bgiller"
7094,"melania_trump___","","following","bgiller"
7095,"perpetualmaniac","California, USA","following","bgiller"
7096,"newtgingrich","","following","bgiller"
7097,"evamerritt","","following","bgiller"
7098,"mirandadevine","New York, NY","following","bgiller"
7099,"rwmalonemd","Virginia","following","bgiller"
7100,"speakermccarthy","Bakersfield, CA","following","bgiller"
7101,"kenpaxtontx","The Great State of Texas","following","bgiller"
7102,"theleoterrell","Los Angeles","following","bgiller"
7103,"thisiskyler","USA","following","bgiller"
7104,"steve","Rocky Top","following","bgiller"
7105,"robsmithonline","NYC/FL","following","bgiller"
7106,"realpnavarro","Washington, Forced VAX Ghetto","following","bgiller"
7107,"parscale","","following","bgiller"
7108,"repleezeldin","","following","bgiller"
7109,"claytravis","Nashville","following","bgiller"
7110,"dailymail","New York","following","bgiller"
7111,"greggjarrett","New York","following","bgiller"
7112,"bucksexton","Manhattan, NY","following","bgiller"
7113,"johnkennedyla","","following","bgiller"
7114,"jedediahbila","Land of the free","following","bgiller"
7115,"warroom","Washington, DC","following","bgiller"
7116,"droz","Huntingdon Valley, PA","following","bgiller"
7117,"breitbartgettr","","following","bgiller"
7118,"gatewaypundit","","following","bgiller"
7119,"realgenflynn","USA 🙏🏼🇳🇱🇺🇸","following","bgiller"
7120,"trburton","Michigan","following","bgiller"
7121,"sidneypowell","🇺🇸 USA 🇺🇸","following","bgiller"
7122,"dloesch","Texas, USA","following","bgiller"
7123,"oann","","following","bgiller"
7124,"judiciarygop","Washington, D.C.","following","bgiller"
7125,"david_bossie","Washington, DC","following","bgiller"
7126,"diamondandsilk","","following","bgiller"
7127,"tulsigabbard","Hawai'i","following","bgiller"
7128,"a_grain_of_dust","USA🇺🇸","follower","bakithehammer"
7129,"grovec01","","follower","bakithehammer"
7130,"iamthetruth69","","follower","bakithehammer"
7131,"guo_yi","HK","follower","bakithehammer"
7132,"patrinaut","Earth","follower","bakithehammer"
7133,"himalayakitchen","Mars","follower","bakithehammer"
7134,"lutelauen","SAN ANTONIO","follower","bakithehammer"
7135,"mihuyiya","","follower","bakithehammer"
7136,"s0b9f8","","follower","bakithehammer"
7137,"lyraqi","","follower","bakithehammer"
7138,"daoai","","follower","bakithehammer"
7139,"xxh596288","","follower","bakithehammer"
7140,"tadam2021","","follower","bakithehammer"
7141,"weifeng2020","","follower","bakithehammer"
7142,"nelsonpeeples","Florida","follower","bakithehammer"
7143,"mihuyiya1","","follower","bakithehammer"
7144,"lordken","","follower","bakithehammer"
7145,"worldanimals","","follower","bakithehammer"
7146,"puggg","Missouri","follower","bakithehammer"
7147,"skychen","","follower","bakithehammer"
7148,"jontwofeathers","","follower","bakithehammer"
7149,"spookskywalker","","follower","bakithehammer"
7150,"willdeconqueror","Philly","follower","bakithehammer"
7151,"the_pig","","follower","bakithehammer"
7152,"mickku","","follower","bakithehammer"
7153,"simpleshawn","Great U.S.A.","follower","bakithehammer"
7154,"5atton","","follower","bakithehammer"
7155,"juvenguo","Himalaya Oxford Visionary Farm","follower","bakithehammer"
7156,"djtrumpwon2020","🇺🇸🍊TrumpLand🍊🇺🇲","follower","bakithehammer"
7157,"lcb7781","","follower","bakithehammer"
7158,"anta02","NY","follower","bakithehammer"
7159,"magawwg1wga","Earth 🌎 I think 🤔","follower","bakithehammer"
7160,"iambc77_","PA/ New York/ Venice FL","follower","bakithehammer"
7161,"flordepancho","🇦🇷🇧🇷🇬🇧🇺🇸","follower","bakithehammer"
7162,"ripptear","MIZZOU","follower","bakithehammer"
7163,"fussgeher","Heideland","follower","bakithehammer"
7164,"the_messianic_muslim","","follower","bakithehammer"
7165,"dustinsindledec","Russia","follower","bakithehammer"
7166,"poopy_pants_shu","Bonita Beach, Florida","follower","bakithehammer"
7167,"gath17","NM","follower","bakithehammer"
7168,"eliteradartech","","follower","bakithehammer"
7169,"sunsun3128","","follower","bakithehammer"
7170,"standuppnholler","","follower","bakithehammer"
7171,"patriot76_6260","Florida","follower","bakithehammer"
7172,"frank19087","","follower","bakithehammer"
7173,"conservative_box","","follower","bakithehammer"
7174,"mikehighleysr","Eastern Ohio","follower","bakithehammer"
7175,"jcsixes","Peach State","follower","bakithehammer"
7176,"thefisch","","follower","bakithehammer"
7177,"guy34491","Florida","follower","bakithehammer"
7178,"madmaxinat","","following","bakithehammer"
7179,"brian1960","","following","bakithehammer"
7180,"s0b9f8","","following","bakithehammer"
7181,"mihuyiya1","","following","bakithehammer"
7182,"nelsonpeeples","Florida","following","bakithehammer"
7183,"greybuck","","following","bakithehammer"
7184,"kratos2057","Mars","following","bakithehammer"
7185,"xihy777","","following","bakithehammer"
7186,"deepsea7","","following","bakithehammer"
7187,"liang777","","following","bakithehammer"
7188,"flordepancho","🇦🇷🇧🇷🇬🇧🇺🇸","following","bakithehammer"
7189,"jontwofeathers","","following","bakithehammer"
7190,"transwarpv","BEGYPT, Charleston Illinois","following","bakithehammer"
7191,"the_messianic_muslim","","following","bakithehammer"
7192,"giovanishotdogchili_21","","following","bakithehammer"
7193,"omnia1996","","following","bakithehammer"
7194,"45magaman","GA 🇺🇸","following","bakithehammer"
7195,"pissedoffunvvxx","","following","bakithehammer"
7196,"djtrumpwon2020","🇺🇸🍊TrumpLand🍊🇺🇲","following","bakithehammer"
7197,"magalionhat","Kekistan","following","bakithehammer"
7198,"rlwolf9999","West Central Florida","following","bakithehammer"
7199,"realjoelgomes","🇨🇦🍁","following","bakithehammer"
7200,"dustinsindledec","Russia","following","bakithehammer"
7201,"usalu","","following","bakithehammer"
7202,"michaeldet","WOLF","following","bakithehammer"
7203,"lp11177","","following","bakithehammer"
7204,"piggy74","","following","bakithehammer"
7205,"qpunisher17","Italy, U.S.A, Brasil","following","bakithehammer"
7206,"pennynp77","Texas","following","bakithehammer"
7207,"trunews","Online","following","bakithehammer"
7208,"vanpoortfliet","West coast of the east coast","following","bakithehammer"
7209,"lionelnation","Hells Kitchen","following","bakithehammer"
7210,"turbo81","communist Republic of Scotland","following","bakithehammer"
7211,"jtlav","","following","bakithehammer"
7212,"core88","","following","bakithehammer"
7213,"gettrchillmode","","following","bakithehammer"
7214,"zizicali","California","following","bakithehammer"
7215,"dc_draino","Tampa, FL","following","bakithehammer"
7216,"kdmayo","Boca Raton Fl","following","bakithehammer"
7217,"arthurcoff","3rd rock from the Sun","following","bakithehammer"
7218,"howie_ronic","GreatNorthwest","following","bakithehammer"
7219,"gettrfood","Mars","following","bakithehammer"
7220,"speedo","","following","bakithehammer"
7221,"burr_pi","Saudi Arabia","following","bakithehammer"
7222,"bbgfof","","following","bakithehammer"
7223,"subconworks","","following","bakithehammer"
7224,"smotpoker","The Woods","following","bakithehammer"
7225,"nellie71","Tennessee","following","bakithehammer"
7226,"freedomforuser","Germany 🇩🇪","following","bakithehammer"
7227,"sidhoumlarbi_1786","ALGERIA","following","bakithehammer"
7228,"muzi5839","null","follower","lordmagapraise"
7229,"the_real_veteran","USA forever!","follower","lordmagapraise"
7230,"weizhenbupo7749","The New Federal State of China","follower","lordmagapraise"
7231,"ciger24","","follower","lordmagapraise"
7232,"rclaw","USA 🇺🇸","follower","lordmagapraise"
7233,"marteau","法国🇫🇷","follower","lordmagapraise"
7234,"cruisemissile","verdansk","follower","lordmagapraise"
7235,"jianhua266","","follower","lordmagapraise"
7236,"patriotrevenge","USA","follower","lordmagapraise"
7237,"isabellabrown_7977","California","follower","lordmagapraise"
7238,"the_patriot1966","","follower","lordmagapraise"
7239,"universalfamily","","follower","lordmagapraise"
7240,"danny315","","follower","lordmagapraise"
7241,"masterchef7stars","Location 🇺🇸","follower","lordmagapraise"
7242,"beccab","Bluegrass State","follower","lordmagapraise"
7243,"dayan777","新中国联邦 NFSC","follower","lordmagapraise"
7244,"gregloucks","🇺🇸 USA","follower","lordmagapraise"
7245,"gamarr","Gama/Brasil","follower","lordmagapraise"
7246,"wenly","","follower","lordmagapraise"
7247,"grammbammbuli","","follower","lordmagapraise"
7248,"wwapd","PureBlood, USA","follower","lordmagapraise"
7249,"mainecabinfever","Maine","follower","lordmagapraise"
7250,"kuailele","","follower","lordmagapraise"
7251,"xingchendahai","","follower","lordmagapraise"
7252,"dajiao","","follower","lordmagapraise"
7253,"garynew59","","follower","lordmagapraise"
7254,"evayan","Los Angles","follower","lordmagapraise"
7255,"leroywashington","FLORIDA","follower","lordmagapraise"
7256,"the_dogg","The United States of America","follower","lordmagapraise"
7257,"irredeemableyde","Macy Indiana","follower","lordmagapraise"
7258,"jasimine","Land of Freedom, earth","follower","lordmagapraise"
7259,"celine_1208","U S Texas","follower","lordmagapraise"
7260,"sakula","NFSC","follower","lordmagapraise"
7261,"djbhoffman","Knoxville TN","follower","lordmagapraise"
7262,"lvumdt","","follower","lordmagapraise"
7263,"unvaxguy","Los Angeles,  CA","follower","lordmagapraise"
7264,"politicalsatell","Shasta county","follower","lordmagapraise"
7265,"cent_turion","","follower","lordmagapraise"
7266,"alliemaga4eva","Arkansas","follower","lordmagapraise"
7267,"rhonda_91653","LeFlore County, OK","follower","lordmagapraise"
7268,"don1776","Panhandle, Florida Free state","follower","lordmagapraise"
7269,"charliesalt","Florida","follower","lordmagapraise"
7270,"yy19896464","","follower","lordmagapraise"
7271,"sullyzworld","souf","follower","lordmagapraise"
7272,"bobsbooger","","follower","lordmagapraise"
7273,"johnrgordy","","follower","lordmagapraise"
7274,"thereturnofherbetshoover","Desd and buried","follower","lordmagapraise"
7275,"arbyswehavethemeats","OHIO","follower","lordmagapraise"
7276,"ashbadan","","follower","lordmagapraise"
7277,"american_8308","Charlotte North Carolina","follower","lordmagapraise"
7278,"the_real_veteran","USA forever!","following","lordmagapraise"
7279,"trollfree","South Carolina","following","lordmagapraise"
7280,"benzochristian","","following","lordmagapraise"
7281,"jomommasnothere","","following","lordmagapraise"
7282,"jplucky","Mountains of Colorado","following","lordmagapraise"
7283,"hed1976","Utopian Ghetto Work Camp","following","lordmagapraise"
7284,"danconner","Yallywood , Atl Ga","following","lordmagapraise"
7285,"thereturnofherbetshoover","Desd and buried","following","lordmagapraise"
7286,"u4eaou812","Poughkeepsie New York","following","lordmagapraise"
7287,"charliesalt","Florida","following","lordmagapraise"
7288,"firefly_1952","Rock Island County Illinois","following","lordmagapraise"
7289,"unvaxguy","Los Angeles,  CA","following","lordmagapraise"
